#CANONICAL_CLASS_NAME CANONICAL_CLASS_NAME
java.net.DatagramSocketImpl java.net.AbstractPlainDatagramSocketImpl
java.nio.DirectLongBufferRU java.nio.ByteBufferAsDoubleBufferRB
java.nio.ByteBufferAsCharBufferB java.nio.ByteBufferAsDoubleBufferB
java.nio.ByteBufferAsCharBufferB java.nio.DirectCharBufferRU
java.nio.ByteBufferAsCharBufferB java.nio.ByteBufferAsFloatBufferB
java.nio.ByteBufferAsCharBufferB java.nio.ByteBufferAsCharBufferRL
java.nio.ByteBufferAsCharBufferB java.nio.ByteBufferAsFloatBufferL
java.nio.ByteBufferAsCharBufferB java.nio.ByteBufferAsShortBufferL
java.nio.ByteBufferAsCharBufferB java.nio.ByteBufferAsLongBufferB
java.nio.ByteBufferAsCharBufferL java.nio.ByteBufferAsDoubleBufferB
java.nio.ByteBufferAsCharBufferL java.nio.DirectCharBufferRU
java.nio.ByteBufferAsCharBufferL java.nio.ByteBufferAsFloatBufferB
java.nio.ByteBufferAsCharBufferL java.nio.ByteBufferAsCharBufferRL
java.nio.ByteBufferAsCharBufferL java.nio.ByteBufferAsFloatBufferL
java.nio.ByteBufferAsCharBufferL java.nio.ByteBufferAsShortBufferL
java.nio.ByteBufferAsCharBufferL java.nio.ByteBufferAsLongBufferB
java.nio.ByteBufferAsCharBufferL java.nio.ByteBufferAsCharBufferB
java.nio.ByteBufferAsIntBufferB java.nio.ByteBufferAsDoubleBufferRL
java.nio.ByteBufferAsIntBufferB java.nio.ByteBufferAsDoubleBufferB
java.nio.ByteBufferAsIntBufferB java.nio.ByteBufferAsFloatBufferRB
java.nio.ByteBufferAsIntBufferB java.nio.ByteBufferAsFloatBufferB
java.nio.ByteBufferAsIntBufferB java.nio.ByteBufferAsShortBufferRL
java.nio.ByteBufferAsIntBufferB java.nio.ByteBufferAsShortBufferRB
java.nio.ByteBufferAsIntBufferB java.nio.ByteBufferAsFloatBufferRL
java.nio.ByteBufferAsIntBufferB java.nio.ByteBufferAsFloatBufferL
java.nio.ByteBufferAsIntBufferB java.nio.ByteBufferAsShortBufferL
java.nio.ByteBufferAsIntBufferB java.nio.ByteBufferAsDoubleBufferRB
java.nio.ByteBufferAsIntBufferB java.nio.ByteBufferAsLongBufferB
java.nio.ByteBufferAsIntBufferB java.nio.ByteBufferAsCharBufferB
java.nio.ByteBufferAsIntBufferB java.nio.ByteBufferAsCharBufferL
java.nio.ByteBufferAsIntBufferL java.nio.ByteBufferAsDoubleBufferRL
java.nio.ByteBufferAsIntBufferL java.nio.ByteBufferAsDoubleBufferB
java.nio.ByteBufferAsIntBufferL java.nio.ByteBufferAsFloatBufferRB
java.nio.ByteBufferAsIntBufferL java.nio.ByteBufferAsFloatBufferB
java.nio.ByteBufferAsIntBufferL java.nio.ByteBufferAsShortBufferRL
java.nio.ByteBufferAsIntBufferL java.nio.ByteBufferAsShortBufferRB
java.nio.ByteBufferAsIntBufferL java.nio.ByteBufferAsFloatBufferRL
java.nio.ByteBufferAsIntBufferL java.nio.ByteBufferAsFloatBufferL
java.nio.ByteBufferAsIntBufferL java.nio.ByteBufferAsShortBufferL
java.nio.ByteBufferAsIntBufferL java.nio.ByteBufferAsDoubleBufferRB
java.nio.ByteBufferAsIntBufferL java.nio.ByteBufferAsLongBufferB
java.nio.ByteBufferAsIntBufferL java.nio.ByteBufferAsCharBufferB
java.nio.ByteBufferAsIntBufferL java.nio.ByteBufferAsCharBufferL
java.nio.ByteBufferAsIntBufferL java.nio.ByteBufferAsIntBufferB
java.nio.ByteBufferAsDoubleBufferL java.nio.ByteBufferAsDoubleBufferRL
java.nio.ByteBufferAsDoubleBufferL java.nio.ByteBufferAsDoubleBufferB
java.nio.ByteBufferAsDoubleBufferL java.nio.ByteBufferAsFloatBufferRB
java.nio.ByteBufferAsDoubleBufferL java.nio.ByteBufferAsFloatBufferB
java.nio.ByteBufferAsDoubleBufferL java.nio.ByteBufferAsShortBufferRL
java.nio.ByteBufferAsDoubleBufferL java.nio.ByteBufferAsShortBufferRB
java.nio.ByteBufferAsDoubleBufferL java.nio.ByteBufferAsFloatBufferRL
java.nio.ByteBufferAsDoubleBufferL java.nio.ByteBufferAsFloatBufferL
java.nio.ByteBufferAsDoubleBufferL java.nio.ByteBufferAsShortBufferL
java.nio.ByteBufferAsDoubleBufferL java.nio.ByteBufferAsDoubleBufferRB
java.nio.ByteBufferAsDoubleBufferL java.nio.ByteBufferAsLongBufferB
java.nio.ByteBufferAsDoubleBufferL java.nio.ByteBufferAsCharBufferB
java.nio.ByteBufferAsDoubleBufferL java.nio.ByteBufferAsCharBufferL
java.nio.ByteBufferAsDoubleBufferL java.nio.ByteBufferAsIntBufferB
java.nio.ByteBufferAsDoubleBufferL java.nio.ByteBufferAsIntBufferL
java.nio.DirectShortBufferRS java.nio.ByteBufferAsDoubleBufferRL
java.nio.DirectShortBufferRS java.nio.ByteBufferAsFloatBufferRB
java.nio.DirectShortBufferRS java.nio.DirectDoubleBufferRS
java.nio.DirectShortBufferRS java.nio.DirectCharBufferRU
java.nio.DirectShortBufferRS java.nio.DirectDoubleBufferRU
java.nio.DirectShortBufferRS java.nio.ByteBufferAsShortBufferRL
java.nio.DirectShortBufferRS java.nio.ByteBufferAsShortBufferRB
java.nio.DirectShortBufferRS java.nio.ByteBufferAsFloatBufferRL
java.nio.DirectShortBufferRS java.nio.DirectIntBufferRU
java.nio.DirectShortBufferRS java.nio.DirectFloatBufferRU
java.nio.DirectShortBufferRS java.nio.DirectFloatBufferRS
java.nio.DirectShortBufferRS java.nio.ByteBufferAsDoubleBufferRB
java.nio.DirectShortBufferRS java.nio.DirectLongBufferRU
java.nio.DirectCharBufferRS java.nio.DirectDoubleBufferRS
java.nio.DirectCharBufferRS java.nio.DirectCharBufferRU
java.nio.DirectCharBufferRS java.nio.DirectDoubleBufferRU
java.nio.DirectCharBufferRS java.nio.DirectIntBufferRU
java.nio.DirectCharBufferRS java.nio.ByteBufferAsCharBufferRL
java.nio.DirectCharBufferRS java.nio.DirectFloatBufferRU
java.nio.DirectCharBufferRS java.nio.DirectFloatBufferRS
java.nio.DirectCharBufferRS java.nio.DirectLongBufferRU
java.nio.DirectCharBufferRS java.nio.ByteBufferAsCharBufferB
java.nio.DirectCharBufferRS java.nio.ByteBufferAsCharBufferL
java.nio.DirectCharBufferRS java.nio.DirectShortBufferRS
java.nio.ByteBuffer java.nio.LongBuffer
java.nio.ByteBuffer java.nio.CharBuffer
java.nio.ByteBuffer java.nio.DoubleBuffer
java.nio.HeapByteBufferR java.nio.HeapDoubleBufferR
java.nio.HeapByteBufferR java.nio.HeapShortBufferR
java.nio.DirectLongBufferRS java.nio.ByteBufferAsDoubleBufferRL
java.nio.DirectLongBufferRS java.nio.ByteBufferAsFloatBufferRB
java.nio.DirectLongBufferRS java.nio.DirectDoubleBufferRS
java.nio.DirectLongBufferRS java.nio.DirectCharBufferRU
java.nio.DirectLongBufferRS java.nio.DirectDoubleBufferRU
java.nio.DirectLongBufferRS java.nio.ByteBufferAsShortBufferRL
java.nio.DirectLongBufferRS java.nio.ByteBufferAsShortBufferRB
java.nio.DirectLongBufferRS java.nio.ByteBufferAsFloatBufferRL
java.nio.DirectLongBufferRS java.nio.DirectIntBufferRU
java.nio.DirectLongBufferRS java.nio.DirectFloatBufferRU
java.nio.DirectLongBufferRS java.nio.DirectFloatBufferRS
java.nio.DirectLongBufferRS java.nio.ByteBufferAsDoubleBufferRB
java.nio.DirectLongBufferRS java.nio.DirectLongBufferRU
java.nio.DirectLongBufferRS java.nio.DirectShortBufferRS
java.nio.DirectLongBufferRS java.nio.DirectCharBufferRS
java.nio.DirectByteBufferR java.nio.ByteBufferAsDoubleBufferRL
java.nio.DirectByteBufferR java.nio.ByteBufferAsFloatBufferRB
java.nio.DirectByteBufferR java.nio.ByteBufferAsShortBufferRL
java.nio.DirectByteBufferR java.nio.ByteBufferAsShortBufferRB
java.nio.DirectByteBufferR java.nio.ByteBufferAsFloatBufferRL
java.nio.DirectByteBufferR java.nio.ByteBufferAsDoubleBufferRB
java.nio.FloatBuffer java.nio.LongBuffer
java.nio.FloatBuffer java.nio.CharBuffer
java.nio.FloatBuffer java.nio.DoubleBuffer
java.nio.FloatBuffer java.nio.ByteBuffer
java.nio.ByteBufferAsLongBufferRB java.nio.ByteBufferAsDoubleBufferRL
java.nio.ByteBufferAsLongBufferRB java.nio.ByteBufferAsDoubleBufferB
java.nio.ByteBufferAsLongBufferRB java.nio.ByteBufferAsFloatBufferRB
java.nio.ByteBufferAsLongBufferRB java.nio.DirectDoubleBufferRS
java.nio.ByteBufferAsLongBufferRB java.nio.DirectDoubleBufferRU
java.nio.ByteBufferAsLongBufferRB java.nio.ByteBufferAsFloatBufferB
java.nio.ByteBufferAsLongBufferRB java.nio.ByteBufferAsShortBufferRL
java.nio.ByteBufferAsLongBufferRB java.nio.ByteBufferAsShortBufferRB
java.nio.ByteBufferAsLongBufferRB java.nio.ByteBufferAsFloatBufferRL
java.nio.ByteBufferAsLongBufferRB java.nio.DirectIntBufferRU
java.nio.ByteBufferAsLongBufferRB java.nio.ByteBufferAsCharBufferRL
java.nio.ByteBufferAsLongBufferRB java.nio.ByteBufferAsFloatBufferL
java.nio.ByteBufferAsLongBufferRB java.nio.DirectFloatBufferRU
java.nio.ByteBufferAsLongBufferRB java.nio.ByteBufferAsShortBufferL
java.nio.ByteBufferAsLongBufferRB java.nio.DirectFloatBufferRS
java.nio.ByteBufferAsLongBufferRB java.nio.ByteBufferAsDoubleBufferRB
java.nio.ByteBufferAsLongBufferRB java.nio.ByteBufferAsLongBufferB
java.nio.ByteBufferAsLongBufferRB java.nio.DirectLongBufferRU
java.nio.ByteBufferAsLongBufferRB java.nio.ByteBufferAsIntBufferB
java.nio.ByteBufferAsLongBufferRB java.nio.ByteBufferAsIntBufferL
java.nio.ByteBufferAsLongBufferRB java.nio.ByteBufferAsDoubleBufferL
java.nio.ByteBufferAsLongBufferRB java.nio.DirectShortBufferRS
java.nio.ByteBufferAsLongBufferRB java.nio.DirectLongBufferRS
java.nio.ByteBufferAsLongBufferRB java.nio.DirectByteBufferR
java.nio.ByteBufferAsShortBufferB java.nio.ByteBufferAsDoubleBufferRL
java.nio.ByteBufferAsShortBufferB java.nio.ByteBufferAsDoubleBufferB
java.nio.ByteBufferAsShortBufferB java.nio.ByteBufferAsFloatBufferRB
java.nio.ByteBufferAsShortBufferB java.nio.ByteBufferAsFloatBufferB
java.nio.ByteBufferAsShortBufferB java.nio.ByteBufferAsShortBufferRL
java.nio.ByteBufferAsShortBufferB java.nio.ByteBufferAsShortBufferRB
java.nio.ByteBufferAsShortBufferB java.nio.ByteBufferAsFloatBufferRL
java.nio.ByteBufferAsShortBufferB java.nio.ByteBufferAsFloatBufferL
java.nio.ByteBufferAsShortBufferB java.nio.ByteBufferAsShortBufferL
java.nio.ByteBufferAsShortBufferB java.nio.ByteBufferAsDoubleBufferRB
java.nio.ByteBufferAsShortBufferB java.nio.ByteBufferAsLongBufferB
java.nio.ByteBufferAsShortBufferB java.nio.ByteBufferAsCharBufferB
java.nio.ByteBufferAsShortBufferB java.nio.ByteBufferAsCharBufferL
java.nio.ByteBufferAsShortBufferB java.nio.ByteBufferAsIntBufferB
java.nio.ByteBufferAsShortBufferB java.nio.ByteBufferAsIntBufferL
java.nio.ByteBufferAsShortBufferB java.nio.ByteBufferAsDoubleBufferL
java.nio.ByteBufferAsShortBufferB java.nio.ByteBufferAsLongBufferRB
java.nio.ByteBufferAsIntBufferRB java.nio.ByteBufferAsDoubleBufferRL
java.nio.ByteBufferAsIntBufferRB java.nio.ByteBufferAsDoubleBufferB
java.nio.ByteBufferAsIntBufferRB java.nio.ByteBufferAsFloatBufferRB
java.nio.ByteBufferAsIntBufferRB java.nio.DirectDoubleBufferRS
java.nio.ByteBufferAsIntBufferRB java.nio.DirectDoubleBufferRU
java.nio.ByteBufferAsIntBufferRB java.nio.ByteBufferAsFloatBufferB
java.nio.ByteBufferAsIntBufferRB java.nio.ByteBufferAsShortBufferRL
java.nio.ByteBufferAsIntBufferRB java.nio.ByteBufferAsShortBufferRB
java.nio.ByteBufferAsIntBufferRB java.nio.ByteBufferAsFloatBufferRL
java.nio.ByteBufferAsIntBufferRB java.nio.DirectIntBufferRU
java.nio.ByteBufferAsIntBufferRB java.nio.ByteBufferAsCharBufferRL
java.nio.ByteBufferAsIntBufferRB java.nio.ByteBufferAsFloatBufferL
java.nio.ByteBufferAsIntBufferRB java.nio.DirectFloatBufferRU
java.nio.ByteBufferAsIntBufferRB java.nio.ByteBufferAsShortBufferL
java.nio.ByteBufferAsIntBufferRB java.nio.DirectFloatBufferRS
java.nio.ByteBufferAsIntBufferRB java.nio.ByteBufferAsDoubleBufferRB
java.nio.ByteBufferAsIntBufferRB java.nio.ByteBufferAsLongBufferB
java.nio.ByteBufferAsIntBufferRB java.nio.DirectLongBufferRU
java.nio.ByteBufferAsIntBufferRB java.nio.ByteBufferAsIntBufferB
java.nio.ByteBufferAsIntBufferRB java.nio.ByteBufferAsIntBufferL
java.nio.ByteBufferAsIntBufferRB java.nio.ByteBufferAsDoubleBufferL
java.nio.ByteBufferAsIntBufferRB java.nio.DirectShortBufferRS
java.nio.ByteBufferAsIntBufferRB java.nio.DirectLongBufferRS
java.nio.ByteBufferAsIntBufferRB java.nio.DirectByteBufferR
java.nio.ByteBufferAsIntBufferRB java.nio.ByteBufferAsLongBufferRB
java.nio.ByteBufferAsIntBufferRB java.nio.ByteBufferAsShortBufferB
java.nio.ByteBufferAsCharBufferRB java.nio.ByteBufferAsDoubleBufferRL
java.nio.ByteBufferAsCharBufferRB java.nio.ByteBufferAsFloatBufferRB
java.nio.ByteBufferAsCharBufferRB java.nio.DirectCharBufferRU
java.nio.ByteBufferAsCharBufferRB java.nio.ByteBufferAsShortBufferRL
java.nio.ByteBufferAsCharBufferRB java.nio.ByteBufferAsShortBufferRB
java.nio.ByteBufferAsCharBufferRB java.nio.ByteBufferAsFloatBufferRL
java.nio.ByteBufferAsCharBufferRB java.nio.ByteBufferAsCharBufferRL
java.nio.ByteBufferAsCharBufferRB java.nio.ByteBufferAsDoubleBufferRB
java.nio.ByteBufferAsCharBufferRB java.nio.ByteBufferAsCharBufferB
java.nio.ByteBufferAsCharBufferRB java.nio.ByteBufferAsCharBufferL
java.nio.ByteBufferAsCharBufferRB java.nio.DirectCharBufferRS
java.nio.ByteBufferAsCharBufferRB java.nio.ByteBufferAsLongBufferRB
java.nio.ByteBufferAsCharBufferRB java.nio.ByteBufferAsIntBufferRB
java.nio.DirectIntBufferRS java.nio.ByteBufferAsDoubleBufferRL
java.nio.DirectIntBufferRS java.nio.ByteBufferAsFloatBufferRB
java.nio.DirectIntBufferRS java.nio.DirectDoubleBufferRS
java.nio.DirectIntBufferRS java.nio.DirectCharBufferRU
java.nio.DirectIntBufferRS java.nio.DirectDoubleBufferRU
java.nio.DirectIntBufferRS java.nio.ByteBufferAsShortBufferRL
java.nio.DirectIntBufferRS java.nio.ByteBufferAsShortBufferRB
java.nio.DirectIntBufferRS java.nio.ByteBufferAsFloatBufferRL
java.nio.DirectIntBufferRS java.nio.DirectIntBufferRU
java.nio.DirectIntBufferRS java.nio.DirectFloatBufferRU
java.nio.DirectIntBufferRS java.nio.DirectFloatBufferRS
java.nio.DirectIntBufferRS java.nio.ByteBufferAsDoubleBufferRB
java.nio.DirectIntBufferRS java.nio.DirectLongBufferRU
java.nio.DirectIntBufferRS java.nio.DirectShortBufferRS
java.nio.DirectIntBufferRS java.nio.DirectCharBufferRS
java.nio.DirectIntBufferRS java.nio.DirectLongBufferRS
java.nio.DirectIntBufferRS java.nio.ByteBufferAsLongBufferRB
java.nio.DirectIntBufferRS java.nio.ByteBufferAsIntBufferRB
java.nio.DirectLongBufferS java.nio.DirectFloatBufferU
java.nio.DirectLongBufferS java.nio.DirectCharBufferU
java.nio.DirectLongBufferS java.nio.DirectCharBufferS
java.nio.DirectLongBufferS java.nio.DirectShortBufferS
java.nio.DirectLongBufferS java.nio.DirectDoubleBufferU
java.nio.DirectLongBufferS java.nio.DirectShortBufferU
java.nio.DirectLongBufferS java.nio.DirectFloatBufferS
java.nio.HeapLongBufferR java.nio.HeapDoubleBufferR
java.nio.HeapLongBufferR java.nio.HeapShortBufferR
java.nio.HeapLongBufferR java.nio.HeapByteBufferR
java.nio.HeapShortBuffer java.nio.HeapFloatBuffer
java.nio.HeapShortBuffer java.nio.HeapDoubleBuffer
java.nio.HeapShortBuffer java.nio.HeapIntBuffer
java.nio.DirectIntBufferS java.nio.DirectFloatBufferU
java.nio.DirectIntBufferS java.nio.DirectCharBufferU
java.nio.DirectIntBufferS java.nio.DirectCharBufferS
java.nio.DirectIntBufferS java.nio.DirectShortBufferS
java.nio.DirectIntBufferS java.nio.DirectDoubleBufferU
java.nio.DirectIntBufferS java.nio.DirectShortBufferU
java.nio.DirectIntBufferS java.nio.DirectFloatBufferS
java.nio.DirectIntBufferS java.nio.DirectLongBufferS
java.nio.HeapCharBufferR java.nio.HeapDoubleBufferR
java.nio.HeapCharBufferR java.nio.HeapShortBufferR
java.nio.HeapCharBufferR java.nio.HeapByteBufferR
java.nio.HeapCharBufferR java.nio.HeapLongBufferR
java.nio.DirectShortBufferRU java.nio.ByteBufferAsDoubleBufferRL
java.nio.DirectShortBufferRU java.nio.ByteBufferAsFloatBufferRB
java.nio.DirectShortBufferRU java.nio.DirectDoubleBufferRS
java.nio.DirectShortBufferRU java.nio.DirectCharBufferRU
java.nio.DirectShortBufferRU java.nio.DirectDoubleBufferRU
java.nio.DirectShortBufferRU java.nio.ByteBufferAsShortBufferRL
java.nio.DirectShortBufferRU java.nio.ByteBufferAsShortBufferRB
java.nio.DirectShortBufferRU java.nio.ByteBufferAsFloatBufferRL
java.nio.DirectShortBufferRU java.nio.DirectIntBufferRU
java.nio.DirectShortBufferRU java.nio.DirectFloatBufferRU
java.nio.DirectShortBufferRU java.nio.DirectFloatBufferRS
